
                     mean       std    median      5.0%     95.0%     n_eff     r_hat
     L_sigma[0]      0.03      0.00      0.03      0.03      0.03     85.61      1.01
     L_sigma[1]      0.02      0.00      0.02      0.01      0.02    222.38      1.01
     L_sigma[2]      0.02      0.00      0.02      0.02      0.02    199.84      1.00
 Y_1_post[10,2]     -0.12      0.02     -0.12     -0.16     -0.09    204.09      1.00
 Y_1_post[11,0]      1.90      0.14      1.89      1.66      2.12     16.97      1.03
 Y_1_post[11,1]      0.58      0.04      0.57      0.52      0.63     20.00      1.03
 Y_1_post[11,2]     -0.13      0.02     -0.13     -0.16     -0.09    289.85      1.00
 Y_1_post[12,0]      2.08      0.14      2.08      1.86      2.32     18.30      1.02
 Y_1_post[12,1]      0.62      0.04      0.62      0.57      0.68     22.67      1.03
 Y_1_post[12,2]     -0.14      0.02     -0.14     -0.18     -0.10    189.22      1.01
 Y_1_post[13,0]      2.17      0.15      2.17      1.95      2.42     24.50      1.01
 Y_1_post[13,1]      0.64      0.04      0.64      0.59      0.71     26.16      1.02
 Y_1_post[13,2]     -0.14      0.02     -0.14     -0.18     -0.11    166.80      1.00
  beta_off[0,0]     -0.37      0.59     -0.37     -1.39      0.58     66.66      1.03
  beta_off[0,1]     -1.34      0.45     -1.33     -2.06     -0.57    120.62      1.01
  beta_off[0,2]     -1.23      0.39     -1.20     -1.84     -0.56    100.93      1.01
  beta_off[0,3]      1.03      0.58      0.98      0.12      1.96     67.82      1.01
  beta_off[0,4]      0.84      0.62      0.84     -0.05      1.85     51.00      1.04
  beta_off[0,5]     -1.67      0.65     -1.67     -2.58     -0.77     43.50      1.03
  beta_off[0,6]      0.03      0.92      0.06     -1.52      1.49    133.94      1.00
  beta_off[0,7]      0.54      0.47      0.51     -0.23      1.26     87.34      1.01
  beta_off[0,8]     -0.97      0.51     -0.90     -1.82     -0.22     56.10      1.02
  beta_off[0,9]      0.19      0.33      0.14     -0.32      0.70     51.97      1.03
 beta_off[0,10]      0.15      0.25      0.11     -0.23      0.56     71.09      1.01
 beta_off[0,11]      0.58      0.39      0.58      0.14      1.25     27.70      1.02
 beta_off[0,12]     -0.02      0.17     -0.01     -0.32      0.26     73.73      1.02
 beta_off[0,13]      0.17      0.37      0.21     -0.42      0.69     32.88      1.08
 beta_off[0,14]     -0.29      0.43     -0.20     -0.85      0.30     30.24      1.06
 beta_off[0,15]     -1.78      0.48     -1.75     -2.51     -0.96    138.73      1.00
 beta_off[0,16]     -0.66      0.39     -0.67     -1.31     -0.17     42.49      1.03
  beta_off[1,0]     -0.16      0.88      0.01     -1.84      1.01      8.67      1.16
  beta_off[1,1]      0.84      0.48      0.87     -0.00      1.58     19.93      1.02
  beta_off[1,2]      0.29      0.56      0.42     -0.69      1.13      7.89      1.15
  beta_off[1,3]     -0.34      0.80     -0.23     -1.64      0.95      9.25      1.17
  beta_off[1,4]     -0.61      0.56     -0.54     -1.54      0.28     53.74      1.01
  beta_off[1,5]      0.21      0.35      0.15     -0.36      0.71     25.83      1.03
  beta_off[1,6]      0.10      0.91      0.13     -1.36      1.52     51.13      1.06
  beta_off[1,7]     -0.44      0.57     -0.47     -1.26      0.61     24.67      1.04
  beta_off[1,8]      1.54      0.54      1.51      0.66      2.35     79.87      1.00
  beta_off[1,9]     -0.09      0.21     -0.05     -0.45      0.22     10.91      1.13
 beta_off[1,10]     -0.18      0.33     -0.11     -0.74      0.30      8.54      1.16
 beta_off[1,11]     -0.21      1.04     -0.50     -1.64      1.55      7.50      1.17
 beta_off[1,12]     -2.02      0.73     -2.07     -3.15     -0.71     13.52      1.09
 beta_off[1,13]     -0.04      0.48     -0.14     -0.74      0.78      8.67      1.14
 beta_off[1,14]     -0.66      0.57     -0.76     -1.43      0.42      9.55      1.08
 beta_off[1,15]      1.28      0.47      1.24      0.51      2.04     20.88      1.03
 beta_off[1,16]     -0.27      0.47     -0.15     -0.95      0.43      8.30      1.18
  beta_off[2,0]      0.18      0.81      0.15     -1.25      1.41    128.06      1.00
  beta_off[2,1]     -0.07      0.43     -0.09     -0.70      0.64     23.78      1.08
  beta_off[2,2]     -1.15      0.51     -1.16     -2.12     -0.43     24.55      1.10
  beta_off[2,3]      0.13      0.59      0.14     -0.86      1.05     82.50      1.04
  beta_off[2,4]     -1.61      0.60     -1.57     -2.58     -0.65    157.61      1.01
  beta_off[2,5]      0.92      0.50      0.87      0.20      1.82     50.81      1.01
  beta_off[2,6]      0.28      0.92      0.30     -1.28      1.64     76.00      1.00
  beta_off[2,7]      0.75      0.55      0.74     -0.10      1.69    107.85      1.00
  beta_off[2,8]     -0.09      0.55     -0.12     -1.07      0.71     35.56      1.04
  beta_off[2,9]      0.63      0.67      0.63     -0.50      1.65     31.91      1.01
 beta_off[2,10]     -0.29      0.39     -0.28     -0.88      0.39     28.73      1.04
 beta_off[2,11]     -0.12      0.45     -0.12     -0.97      0.53     32.22      1.02
 beta_off[2,12]     -1.06      0.33     -1.03     -1.64     -0.58     32.31      1.00
 beta_off[2,13]      1.23      0.53      1.18      0.40      2.05     99.25      1.02
 beta_off[2,14]     -1.14      0.57     -1.15     -2.15     -0.27     16.00      1.21
 beta_off[2,15]     -0.90      0.46     -0.90     -1.65     -0.15     27.45      1.05
 beta_off[2,16]     -0.35      0.28     -0.32     -0.77      0.09    103.70      1.04
  beta_off[3,0]      0.52      0.76      0.51     -0.82      1.73     17.57      1.11
  beta_off[3,1]      0.24      0.61      0.22     -0.80      1.21     90.18      1.00
  beta_off[3,2]     -0.06      0.61     -0.01     -1.10      0.91      7.30      1.26
  beta_off[3,3]     -0.20      0.82     -0.16     -1.55      1.07     13.77      1.16
  beta_off[3,4]     -0.69      0.71     -0.64     -1.83      0.44     77.64      1.01
  beta_off[3,5]     -0.09      0.59     -0.10     -1.03      0.87     65.36      1.00
  beta_off[3,6]     -0.29      0.92     -0.30     -1.71      1.23    142.26      1.01
  beta_off[3,7]      0.90      0.71      0.91     -0.21      2.15     41.50      1.01
  beta_off[3,8]     -0.18      0.53     -0.15     -1.13      0.62     71.62      1.00
  beta_off[3,9]     -0.19      0.82     -0.41     -1.38      1.15      4.88      1.41
 beta_off[3,10]      0.55      1.77      1.16     -2.41      2.87      4.27      1.42
 beta_off[3,11]      0.40      0.49      0.42     -0.44      1.17     19.89      1.11
 beta_off[3,12]      0.11      0.56      0.10     -0.79      1.05      7.52      1.20
 beta_off[3,13]      0.46      0.72      0.58     -0.71      1.55      6.25      1.23
 beta_off[3,14]     -0.86      0.66     -0.90     -1.87      0.22      6.45      1.27
 beta_off[3,15]     -0.24      0.52     -0.27     -1.18      0.53     35.84      1.03
 beta_off[3,16]     -1.46      0.71     -1.46     -2.54     -0.21     28.48      1.00
  beta_off[4,0]      1.12      0.45      1.06      0.41      1.79     37.48      1.01
  beta_off[4,1]      1.84      0.48      1.81      1.10      2.63     97.10      1.01
  beta_off[4,2]      1.17      0.30      1.15      0.67      1.64     74.31      1.01
  beta_off[4,3]     -1.30      0.49     -1.25     -2.16     -0.61     76.96      1.00
  beta_off[4,4]     -1.14      0.45     -1.09     -1.91     -0.46     51.30      1.01
  beta_off[4,5]      1.24      0.42      1.19      0.59      1.94     69.67      1.01
  beta_off[4,6]      0.07      0.85      0.07     -1.37      1.41     92.66      1.01
  beta_off[4,7]     -0.42      0.31     -0.42     -0.93      0.09     55.91      1.05
  beta_off[4,8]     -0.30      0.24     -0.26     -0.64      0.05     61.03      1.01
  beta_off[4,9]      0.33      0.15      0.33      0.07      0.56     13.55      1.20
 beta_off[4,10]      0.35      0.17      0.32      0.10      0.58     49.54      1.01
 beta_off[4,11]     -1.01      0.33     -0.97     -1.55     -0.52     38.00      1.10
